year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2016,Erik Compton,-0.687,-0.495,-0.443,0.074,-0.04,284.7,53.64,58.64,71.884,247903.0,,-0.864
2016,Ernie Els,-0.024,0.065,-0.48,-0.014,0.405,292.8,52.93,61.2,71.371,559024.0,,-0.429
2016,Fabián Gómez,-0.037,0.009,-0.289,0.03,0.213,289.0,61.44,63.71,71.346,2227040.0,40.0,-0.24999999999999997
2016,Francesco Molinari,0.562,0.192,0.484,0.183,-0.296,286.7,63.76,64.93,70.436,1083155.0,111.0,0.859
2016,Frank Lickliter II,,,,,,,,,,28986.0,,
2016,Fred Funk,,,,,,,,,,18662.0,,
2016,Freddie Jacobson,0.072,-0.223,-0.059,0.05,0.487,280.3,59.03,64.86,70.809,1354196.0,90.0,-0.23200000000000004
2016,Gary Woodland,0.903,0.695,0.522,0.088,-0.162,306.1,56.69,68.74,70.234,2392044.0,20.0,1.3050000000000002
2016,Geoff Ogilvy,-0.187,-0.081,0.173,0.157,-0.437,291.9,61.24,63.65,71.464,397595.0,,0.249
2016,George McNeill,-0.791,-0.415,0.278,-0.168,-0.485,284.5,60.99,64.16,71.848,213895.0,,-0.30499999999999994
2016,Graeme McDowell,-0.178,-0.129,0.153,-0.003,-0.199,281.4,67.7,64.44,70.899,2596170.0,48.0,0.020999999999999994
2016,Graham DeLaet,0.12,0.444,0.662,-0.567,-0.227,297.9,60.11,68.35,71.074,908557.0,120.0,0.5390000000000001
2016,Greg Chalmers,,,,,,,,,,695188.0,142.0,
2016,Greg Owen,-0.453,0.177,0.475,-0.279,-0.987,297.7,59.22,69.75,71.677,484955.0,150.0,0.3729999999999999
2016,Harold Varner III,0.124,0.472,0.057,-0.078,-0.357,302.0,59.33,66.24,71.045,1327320.0,75.0,0.451
2016,Harris English,0.634,-0.236,0.24,0.138,0.594,299.2,55.01,64.83,70.463,2014283.0,47.0,0.14200000000000002
2016,Henrik Norlander,0.063,0.023,0.031,-0.117,0.039,288.1,63.39,68.24,71.157,290889.0,,-0.063
2016,Henrik Stenson,,,,,,,,,,3397373.0,36.0,
2016,Hideki Matsuyama,1.29,0.527,0.774,0.015,-0.025,294.5,62.04,68.11,70.034,4193954.0,13.0,1.316
2016,Hiroshi Iwata,-0.643,0.012,-0.562,-0.033,0.174,288.8,58.34,59.5,71.693,634862.0,146.0,-0.5830000000000001
2016,Hudson Swafford,0.298,0.497,0.32,-0.561,0.205,306.9,61.43,68.8,70.875,1027314.0,64.0,0.2559999999999999
2016,Hunter Mahan,-0.779,-0.118,-0.869,-0.268,0.253,294.8,57.13,62.75,72.105,230694.0,,-1.255
2016,Ian Poulter,,,,,,,,,,370256.0,,
2016,J.B. Holmes,0.504,0.663,-0.151,0.233,-0.129,314.5,51.68,65.17,70.523,2969608.0,30.0,0.745
2016,J.J. Henry,-0.734,-0.293,-0.257,-0.097,-0.269,287.3,59.33,67.51,72.019,280674.0,,-0.647
2016,James Hahn,-0.199,0.1,-0.082,0.135,-0.243,290.9,60.71,64.58,71.245,2367521.0,39.0,0.15300000000000002
2016,Jamie Donaldson,,,,,,,,,,520052.0,149.0,
2016,Jamie Lovemark,0.504,0.609,-0.459,0.294,0.131,304.8,57.32,65.32,70.896,1940890.0,49.0,0.44399999999999995
2016,Jarrod Lyle,,,,,,,,,,15884.0,,
