year,player_name,sg_total,sg_off_the_tee,sg_approach,sg_around_green,sg_putting,driving_distance,driving_accuracy,greens_in_regulation,scoring_average,money_earned,final_season_rank,sg_tee_to_green
2023,Brent Grant,-1.449,0.806,-0.674,-0.5,-1.081,311.2,63.62,68.39,72.176,466212.0,166.0,-0.368
2023,Brian Gay,,,,,,,,,,219638.0,204.0,
2023,Brian Harman,0.68,0.254,0.008,0.018,0.399,293.6,66.82,67.62,69.978,9175262.0,23.0,0.28
2023,Brian Stuard,-1.084,-1.077,-0.352,0.109,0.236,271.5,64.67,62.4,72.27,296420.0,198.0,-1.3199999999999998
2023,Brice Garnett,-0.013,-0.118,-0.137,0.104,0.136,288.7,64.61,70.48,71.552,492959.0,163.0,-0.15100000000000002
2023,Byeong Hun An,0.698,0.447,0.048,0.396,-0.194,315.6,52.17,64.13,70.244,3231760.0,44.0,0.891
2023,C.T. Pan,0.015,-0.196,0.247,0.054,-0.09,296.6,61.45,70.51,70.857,1272421.0,120.0,0.10499999999999998
2023,Callum Tarren,-0.061,0.188,0.168,-0.229,-0.188,312.0,50.69,67.68,71.203,1780943.0,91.0,0.12699999999999997
2023,Cam Davis,0.738,0.514,0.16,0.191,-0.127,311.0,55.39,67.77,70.175,5001208.0,48.0,0.865
2023,Cameron Champ,-0.453,0.49,-0.061,-0.57,-0.312,317.9,59.93,69.3,71.445,1103852.0,143.0,-0.14099999999999996
2023,Cameron Percy,-0.094,0.17,-0.091,-0.027,-0.147,289.3,63.45,69.4,71.622,574605.0,152.0,0.05200000000000002
2023,Cameron Young,0.333,0.581,0.072,-0.019,-0.287,315.7,59.05,68.99,70.515,5392961.0,42.0,0.6339999999999999
2023,Camilo Villegas,,,,,,,,,,1951764.0,224.0,
2023,Carl Yuan,-0.351,0.171,-0.164,-0.212,-0.148,306.8,54.33,67.26,71.466,1167050.0,151.0,-0.205
2023,Carson Young,-0.149,0.086,0.066,-0.425,0.124,295.6,65.58,69.58,71.194,1707716.0,111.0,-0.273
2023,Chad Ramey,-0.016,-0.015,-0.239,-0.079,0.316,294.3,60.89,66.83,71.368,1513390.0,115.0,-0.333
2023,Charley Hoffman,-0.119,-0.037,0.408,-0.006,-0.485,306.1,55.67,68.38,71.197,994186.0,137.0,0.365
2023,Chesson Hadley,0.177,-0.168,0.343,-0.388,0.389,299.3,58.25,69.27,70.917,1503167.0,121.0,-0.213
2023,Chez Reavie,-0.199,-0.229,0.367,-0.213,-0.124,288.4,65.8,68.52,71.596,2264759.0,95.0,-0.07500000000000001
2023,Chris Kirk,0.819,0.009,0.392,0.283,0.134,296.4,61.35,66.67,70.417,4150252.0,32.0,0.6839999999999999
2023,Chris Stroud,-0.213,-0.412,0.229,-0.078,0.048,289.2,60.25,68.71,71.612,449238.0,168.0,-0.26099999999999995
2023,Christiaan Bezuidenhout,0.215,-0.38,0.151,0.205,0.239,291.4,61.45,65.11,70.747,1886083.0,109.0,-0.02400000000000002
2023,Cody Gribble,-0.21,0.16,-0.059,-0.002,-0.309,299.9,60.51,67.54,71.45,640107.0,146.0,0.099
2023,Collin Morikawa,1.438,0.487,1.012,0.047,-0.109,296.2,68.03,70.99,69.429,7573198.0,6.0,1.546
2023,Corey Conners,0.918,0.586,0.534,-0.066,-0.136,300.6,61.4,70.22,70.144,5545721.0,26.0,1.054
2023,D.A. Points,,,,,,,,,,83872.0,230.0,
2023,D.J. Trahan,,,,,,,,,,92850.0,232.0,
2023,Danny Lee,,,,,,,,,,316795.0,186.0,
2023,Danny Willett,-0.129,-0.147,-0.213,0.115,0.115,292.1,58.03,61.19,71.344,1791651.0,85.0,-0.245
2023,David Lingmerth,-0.57,-0.498,-0.061,-0.072,0.06,278.5,67.0,61.05,71.541,2227332.0,80.0,-0.6309999999999999
2023,David Lipsky,-0.21,-0.133,0.33,0.059,-0.466,292.7,63.25,67.48,71.14,1716258.0,98.0,0.256
2023,Davis Riley,-0.112,-0.017,0.361,-0.323,-0.133,305.9,58.92,66.01,71.038,2856707.0,59.0,0.020999999999999963
2023,Davis Thompson,0.157,0.449,-0.198,0.058,-0.152,310.3,60.39,69.39,70.855,2191482.0,73.0,0.309
2023,Denny McCarthy,1.004,0.035,0.102,0.143,0.724,295.5,61.5,66.94,69.825,6760012.0,33.0,0.28
2023,Derek Ernst,,,,,,,,,,52898.0,219.0,
2023,Derek Lamely,,,,,,,,,,52205.0,220.0,
2023,Doc Redman,-0.45,0.052,-0.134,-0.388,0.02,293.5,62.21,69.94,71.546,595132.0,159.0,-0.47000000000000003
2023,Doug Ghim,0.297,0.247,0.174,0.093,-0.218,297.7,67.85,71.51,70.952,1437263.0,117.0,0.514
2023,Dylan Frittelli,-1.258,-0.695,-0.62,0.016,0.041,303.2,46.99,59.62,72.552,683295.0,160.0,-1.299
2023,Dylan Wu,0.595,0.006,0.253,0.007,0.33,298.2,60.45,70.39,70.545,1757267.0,86.0,0.266
2023,Emiliano Grillo,0.266,0.203,0.213,-0.194,0.055,301.3,61.35,67.99,70.579,5476302.0,29.0,0.22200000000000003
2023,Eric Cole,1.064,-0.268,0.545,0.282,0.505,299.0,54.27,65.92,69.757,5457030.0,43.0,0.5589999999999999
2023,Erik Barnes,,,,,,,,,,422239.0,171.0,
2023,Erik van Rooyen,-0.415,0.063,0.056,-0.367,-0.168,304.9,58.06,68.38,71.309,2457390.0,131.0,-0.248
2023,Ernie Els,,,,,,,,,,46200.0,238.0,
2023,Fabián Gómez,,,,,,,,,,143701.0,209.0,
2023,Francesco Molinari,,,,,,,,,,566848.0,184.0,
2023,Fred Couples,,,,,,,,,,46080.0,229.0,
2023,Garrick Higgo,0.221,0.509,-0.291,-0.098,0.101,310.8,57.26,66.88,71.095,1784592.0,76.0,0.12000000000000002
